Customer_ID,Avg_Sentiment,Avg_Delivery_Min,Delayed_Orders,Cancelled_Orders,Churn_Probability,Sentiment_Score,Delivery_Score,Churn_Score,Recovery_Index
000285ae83ecf06a92b936d4f5b74342edb0e1940e1f00e2d43d28dac93a034e,0.0,,0,0,0.42652714,50.0,,57.347286,53.673643
00062fa202370fdd3076b794ec9358f36e35469bb8e5ff60fa06e93c9663f69c,0.0,,0,0,0.7101696,50.0,,28.983040000000003,39.49152
003671a5324f53acf8b069976c75046e0bc7a29bc23fcc10ba33bc44aec2260a,0.0,,0,0,0.73805106,50.0,,26.194894,38.097447
0066dd90a762676039b39722ae22fa21f9d69276d300ef3d4d821a8ff05272b5,0.0,,0,0,0.67764074,50.0,,32.235926000000006,41.117963
0075fd932e9c3b880c370e2ca2e6303d70cc46696b4293e911db681faa55abc2,0.0,,0,0,0.08299099,50.0,,91.700901,70.8504505
00d3ca94468f2d1fb506d8ecdccf18d71eb1922239a1902bdcf32a0607b753c3,0.0,,0,0,0.28852957,50.0,,71.147043,60.5735215
00db5dee81e47a35bf18c89f8ae58d3505ecff10f1b3a89882791cd812d0caf5,0.0,,0,0,0.7506846,50.0,,24.93154,37.46577
0101f0cfc46cfc9dfbf9903a8d8aa069eb4481991cf9379675a37059dbd7a961,0.0,,0,0,0.7078406,50.0,,29.215939999999996,39.607969999999995
013e45493ca3369fe873faad27d720094649751184294dfb52a254bffbd3a045,0.0,,0,0,0.5744627,50.0,,42.55373,46.276865
01addfa2a3daee7c98ee314b836a9ddb987ce281cdad404541dc39cf255f83c3,0.0,,0,0,0.79212433,50.0,,20.787566999999996,35.3937835
01dad68e8ecbd0d6a89a9cee7483390f84103f03cf69a4116cf9bb441bcb4c9f,0.0,,0,0,0.12070427,50.0,,87.92957299999999,68.9647865
0208e406ecc175581021b4089d4d1a205b706d3e242eadb9a13fbededa16ea34,0.0,,0,0,0.65293187,50.0,,34.706813000000004,42.353406500000006
0211453fb0f6c1fcc90d2d6aa9480cb3670d5b3cd75958ed4a1b25308ba7e18c,0.0,,0,0,0.519568,50.0,,48.0432,49.0216
