Customer_ID,Avg_Delivery_Time,Avg_Distance,Avg_Efficiency_Percent,Total_Orders
000285ae83ecf06a92b936d4f5b74342edb0e1940e1f00e2d43d28dac93a034e,47.0,4.0,17.02127659574468,1
00062fa202370fdd3076b794ec9358f36e35469bb8e5ff60fa06e93c9663f69c,11.0,3.0,54.54545454545454,1
003671a5324f53acf8b069976c75046e0bc7a29bc23fcc10ba33bc44aec2260a,26.5,1.0,7.571428571428571,2
0066dd90a762676039b39722ae22fa21f9d69276d300ef3d4d821a8ff05272b5,22.0,5.5,49.14529914529915,2
0075fd932e9c3b880c370e2ca2e6303d70cc46696b4293e911db681faa55abc2,19.5,5.5,61.141304347826086,2
00d3ca94468f2d1fb506d8ecdccf18d71eb1922239a1902bdcf32a0607b753c3,15.0,8.0,100.0,1
00db5dee81e47a35bf18c89f8ae58d3505ecff10f1b3a89882791cd812d0caf5,36.0,3.0,16.666666666666664,1
0101f0cfc46cfc9dfbf9903a8d8aa069eb4481991cf9379675a37059dbd7a961,16.0,1.0,12.5,1
013e45493ca3369fe873faad27d720094649751184294dfb52a254bffbd3a045,19.0,2.0,21.052631578947366,1
01addfa2a3daee7c98ee314b836a9ddb987ce281cdad404541dc39cf255f83c3,27.0,6.0,44.44444444444444,1
01dad68e8ecbd0d6a89a9cee7483390f84103f03cf69a4116cf9bb441bcb4c9f,34.5,8.5,64.28571428571428,2
0208e406ecc175581021b4089d4d1a205b706d3e242eadb9a13fbededa16ea34,30.0,10.0,66.66666666666666,1
0211453fb0f6c1fcc90d2d6aa9480cb3670d5b3cd75958ed4a1b25308ba7e18c,18.0,4.0,44.44444444444444,1
02696c06d1ea0a0f897d8fd54217835337d33c8dad76a3ef30b63a324e27d4a2,28.0,8.5,62.83422459893049,2
02b57794cda902728202cbf94ea09b7b1fad3a2cdb405792dde4274a2efe9c31,24.0,10.0,83.33333333333334,1
02b710296957ae6243953454ea20f38027fc1879169e3972451080306f04f94f,17.0,10.0,100.0,1
0318826f12b937dfe764449fbbbfa73b0332978d0ce9ac5302ed55849534a057,14.0,1.0,14.285714285714285,1
034832d4b7d011459fc4b35648bc82fe163e9c40d7ff4309502827a569951b1a,30.0,2.0,13.333333333333334,1
03878b0de0c1c89640fdbc7223fb6f0b06b3fd5cec355e1254e1288d93064d7b,15.0,3.0,40.0,1
03e0b163c314a2af76b37b4241e815ae3025bc7fe7aa7a1916350160ddbe9eb0,16.0,1.0,12.5,1
03f41549f3aea9d0027e85253ed7d6c01279e7dbd8068c53dc01f803a54e36cf,36.0,1.0,5.555555555555555,1
04062455a01d26b69c48fff955f020f9fbe18caa295e70bb719437ce93c377f8,18.0,2.0,22.22222222222222,1
