Order_ID,Restaurant_ID,Distance_in_km,Time_Taken_In_Min,Delivery_Efficiency,Delivery_Efficiency_Percent
6158533370,20320607,4.0,47,0.0851063829787234,17.02127659574468
6155576594,20320607,3.0,11,0.2727272727272727,54.54545454545454
6149438913,20320607,1.0,28,0.03571428571428571,7.142857142857142
6150789630,20320607,1.0,25,0.04,8.0
6151158050,20320607,7.0,26,0.2692307692307692,53.84615384615385
6155965734,20320607,4.0,18,0.2222222222222222,44.44444444444444
6155526018,20320607,7.0,16,0.4375,87.5
6146261091,20320607,4.0,23,0.17391304347826086,34.78260869565217
6155286499,20320607,8.0,15,0.5333333333333333,100.0
6155319009,20320607,3.0,36,0.08333333333333333,16.666666666666664
6155343744,20320607,1.0,16,0.0625,12.5
6151641967,20320607,2.0,19,0.10526315789473684,21.052631578947366
6152673880,20320607,6.0,27,0.2222222222222222,44.44444444444444
6145690912,20320607,7.0,49,0.14285714285714285,28.57142857142857
6152587141,20320607,10.0,20,0.5,100.0
6143319424,20320607,10.0,30,0.3333333333333333,66.66666666666666
6152649630,20320607,4.0,18,0.2222222222222222,44.44444444444444
6146501186,20320607,8.0,22,0.36363636363636365,72.72727272727273
6145930056,20320607,9.0,34,0.2647058823529412,52.94117647058824
6145885503,20320607,10.0,24,0.4166666666666667,83.33333333333334
6153460436,20320607,10.0,17,0.5882352941176471,100.0
6149384788,20320607,1.0,14,0.07142857142857142,14.285714285714285
6153295379,20320607,2.0,30,0.06666666666666667,13.333333333333334
6151765091,20320607,3.0,15,0.2,40.0
6151170863,20320607,1.0,16,0.0625,12.5
6148418552,20320607,1.0,36,0.027777777777777776,5.555555555555555
6151566063,20320607,2.0,18,0.1111111111111111,22.22222222222222
6145781285,20320607,2.0,17,0.11764705882352941,23.52941176470588
6151947675,20320607,1.0,15,0.06666666666666667,13.333333333333334
6149007950,20320607,3.0,17,0.17647058823529413,35.294117647058826
6147952636,20320607,1.0,19,0.05263157894736842,10.526315789473683
6146517611,20320607,6.0,10,0.6,100.0
6147223342,20320607,4.0,27,0.14814814814814814,29.629629629629626
6148317461,20320607,2.0,37,0.05405405405405406,10.81081081081081
6150575094,20320607,1.0,44,0.022727272727272728,4.545454545454546
6147352865,20320607,4.0,28,0.14285714285714285,28.57142857142857
6152604746,20320607,3.0,42,0.07142857142857142,14.285714285714285
6125480550,20320607,3.0,25,0.12,24.0
6147529218,20320607,1.0,39,0.02564102564102564,5.128205128205128
6151551465,20320607,7.0,20,0.35,70.0
6145952899,20320607,1.0,31,0.03225806451612903,6.451612903225806
6152451484,20320607,3.0,13,0.23076923076923078,46.15384615384615
6145028896,20320607,7.0,28,0.25,50.0
6143017232,20320607,2.0,19,0.10526315789473684,21.052631578947366
6146212039,20320607,7.0,42,0.16666666666666666,33.33333333333333
6146853616,20320607,8.0,23,0.34782608695652173,69.56521739130434
6130555847,20320607,1.0,39,0.02564102564102564,5.128205128205128
6151773822,20320607,2.0,25,0.08,16.0
6143779367,20320607,2.0,15,0.13333333333333333,26.666666666666668
6146106285,20320607,4.0,15,0.26666666666666666,53.333333333333336
6146094951,20320607,7.0,15,0.4666666666666667,93.33333333333333
6148163639,20320607,7.0,15,0.4666666666666667,93.33333333333333
6147899210,20320607,0.0,18,0.0,0.0
6150311284,20320607,1.0,29,0.034482758620689655,6.896551724137931
6149415596,20320607,4.0,20,0.2,40.0
6150898091,20320607,1.0,39,0.02564102564102564,5.128205128205128
6143948696,20320607,1.0,19,0.05263157894736842,10.526315789473683
6147557942,20320607,7.0,19,0.3684210526315789,73.68421052631578
6148529759,20320607,6.0,17,0.35294117647058826,70.58823529411765
6150238934,20320607,9.0,15,0.6,100.0
6146697877,20320607,8.0,19,0.42105263157894735,84.21052631578947
6145306142,20320607,7.0,29,0.2413793103448276,48.275862068965516
6149979442,20320607,3.0,22,0.13636363636363635,27.27272727272727
6145994013,20320607,2.0,42,0.047619047619047616,9.523809523809524
6150183759,20320607,4.0,12,0.3333333333333333,66.66666666666666
6144643572,20320607,3.0,38,0.07894736842105263,15.789473684210526
6137428219,20320607,3.0,23,0.13043478260869565,26.08695652173913
6141943607,20320607,2.0,15,0.13333333333333333,26.666666666666668
6145238773,20320607,8.0,24,0.3333333333333333,66.66666666666666
6142278831,20320607,2.0,37,0.05405405405405406,10.81081081081081
6146100417,20320607,2.0,24,0.08333333333333333,16.666666666666664
6147028506,20320607,5.0,13,0.38461538461538464,76.92307692307693
